label,fg_per_game,fga_per_game,fg_percent,x3pa_per_game,x3p_percent,x2pa_per_game,x2p_percent,fta_per_game,ft_percent,orb_per_game,drb_per_game,trb_per_game,ast_per_game,stl_per_game,blk_per_game,tov_per_game,pf_per_game,pts_per_game
PG,3.7,9.3,0.404,3.7,0.296,5.6,0.475,2.2,0.783,0.8,2.5,3.3,2.4,0.6,0.4,1.4,1.2,10.3
PG,0.8,2.1,0.373,0.7,0.125,1.5,0.486,0.8,0.8,0.5,1,1.5,0.8,0.2,0.1,0.4,0.8,2.3
PG,6.1,15,0.408,6.1,0.311,8.9,0.474,3.3,0.78,1,3.8,4.8,3.6,0.9,0.6,2.2,1.5,16.7
C,1.1,1.8,0.597,0.4,0.214,1.5,0.69,0.5,0.857,0.5,1.1,1.6,0.4,0.2,0.3,0.3,0.7,2.7
PG,7.4,17.5,0.424,8.5,0.354,9,0.49,7,0.92,0.5,3.9,4.4,7,1,0.2,2.6,1.8,24.3
C,4.5,6.5,0.69,0,0,6.5,0.69,2.6,0.706,2.9,5.1,8,1.5,1,2.2,1,3.3,10.9
C,2.6,4.9,0.532,1.2,0.366,3.7,0.586,0.8,0.76,1.4,2.7,4.1,1,0.4,0.9,0.7,2.1,6.3
C,1,4,0.25,1,0,3,0.333,0,0,0,0,0,0,0,0,0,1,2
C,2.6,4.9,0.536,1.2,0.371,3.7,0.589,0.8,0.76,1.4,2.7,4.1,1,0.4,0.9,0.7,2.1,6.3
PG,2.9,5.5,0.533,2,0.491,3.5,0.557,1.2,0.779,0.5,2.3,2.7,2.9,0.4,0.1,0.9,1.5,7.8
C,2.8,6.1,0.466,3.1,0.376,3,0.56,1.5,0.849,1.1,3.3,4.4,2.3,0.5,0.2,1.2,1.8,8
PG,6.6,14.8,0.446,6.2,0.371,8.5,0.501,3.1,0.834,0.5,2.1,2.7,6.5,1.3,0.1,3.1,1.7,18
PG,2,4.5,0.452,2.2,0.361,2.3,0.539,0.6,0.714,0.3,1.1,1.3,1.9,0.2,0,0.6,1.2,5.3
C,2.8,4.8,0.571,0.2,0.267,4.6,0.588,2,0.61,2.6,3.7,6.4,1.4,0.4,0.7,1.1,2.1,6.8
PG,9.7,20.9,0.465,7.8,0.369,13.1,0.522,5.7,0.738,0.9,3.7,4.6,5.6,2,0.4,2.6,2.6,26.6
