label,fg_per_game,fga_per_game,fg_percent,x3pa_per_game,x3p_percent,x2pa_per_game,x2p_percent,fta_per_game,ft_percent,orb_per_game,drb_per_game,trb_per_game,ast_per_game,stl_per_game,blk_per_game,tov_per_game,pf_per_game,pts_per_game
C,6,10.6,0.57,0,0,10.6,0.571,4,0.739,2.7,5.6,8.3,1,0.5,1.4,1.8,3,15
C,2.5,4.2,0.591,0,0,4.2,0.591,0.8,0.16,1.9,5.9,7.8,1.7,0.6,1.3,1,3.5,5
PG,1.4,3.4,0.42,1.2,0.27,2.2,0.5,0.2,0.846,0.3,1.3,1.6,3,0.7,0.2,1.1,1.3,3.3
PG,1.6,3.6,0.441,1.3,0.333,2.3,0.5,0.6,0.95,0.3,1.3,1.5,2,0.4,0,0.8,1,4.2
C,4.2,9.4,0.443,0.2,0.2,9.2,0.447,4.1,0.801,2.2,4.3,6.5,1.3,0.8,1.5,1.5,2.8,11.6
PG,5.5,13.5,0.406,3.9,0.277,9.6,0.459,3.9,0.821,0.7,2.9,3.5,8,1.7,0.6,2.8,2.8,15.3
C,2.3,4.2,0.541,0,0,4.2,0.545,2.3,0.406,3.6,5.1,8.7,1.5,1.2,1.2,0.9,1.9,5.5
PG,5.3,10.6,0.493,2.5,0.377,8.1,0.53,1.8,0.837,0.5,2.3,2.8,4.7,1.1,0.1,1.7,2.1,12.9
PG,2,5.3,0.371,2.2,0.265,3.1,0.446,0.3,0.867,0.2,0.6,0.8,2,0.3,0,1,0.9,4.8
PG,2.7,6.9,0.395,3,0.258,3.9,0.5,0.4,1,0,0.8,0.8,2.1,0.4,0,1.1,1.3,6.6
PG,1.2,3.7,0.329,1.4,0.281,2.3,0.358,0.3,0.714,0.3,0.5,0.9,1.8,0.3,0,1,0.6,3
C,3,7.1,0.43,1.6,0.28,5.5,0.474,2.7,0.827,1,3.9,4.9,1.9,0.5,0.4,1.3,2.3,8.8
PG,5.5,14.8,0.371,4.7,0.374,10.1,0.37,3.3,0.817,0.6,2.8,3.4,5.7,1.3,0.2,2.4,2.3,15.5
C,3.6,6.4,0.562,0,0,6.4,0.563,3.2,0.62,3.6,5.7,9.3,0.6,0.3,2.1,1.3,2.7,9.1
C,3.8,6.8,0.561,0,0,6.8,0.561,3.2,0.646,4.1,6.3,10.3,0.4,0.4,2.1,1.4,3,9.8
C,3.1,5.6,0.564,0,0,5.5,0.568,3.1,0.575,2.8,4.6,7.4,0.9,0.3,2,1.1,2.3,8.1
C,6.9,13.8,0.499,0,0,13.7,0.5,6.2,0.817,3.3,5.4,8.6,2.3,0.7,1.7,2.5,3.1,18.8
PG,3.8,8.1,0.468,2.2,0.31,5.9,0.527,2.6,0.771,0.4,2.2,2.6,2.8,1.6,0.1,1.1,1.9,10.3
PG,2.5,5.2,0.475,0.3,0.28,4.9,0.489,1.3,0.844,0.4,1.4,1.8,3.1,0.5,0.1,0.8,1.4,6.1
PG,0.5,1.7,0.3,0.5,0.167,1.2,0.357,1,0.583,0.2,0.5,0.7,1.2,0.3,0.2,0.9,0.6,1.7
PG,0,0.4,0,0.2,0,0.2,0,0.8,0.25,0,0.2,0.2,0.4,0,0,0.2,0,0.2
PG,0.7,2.3,0.286,0.7,0,1.7,0.4,1.3,0.75,0.3,1,1.3,2,1,0.7,0.7,0.7,2.3
PG,1,2.8,0.364,0.8,0.333,2,0.375,1,0.75,0.3,0.5,0.8,1.5,0,0,2,1.3,3
C,3.9,8.7,0.451,4.8,0.439,3.8,0.466,1.5,0.81,0.8,4.5,5.3,1.4,0.8,0.9,0.9,3.2,11.2
PG,5.5,13.2,0.418,5.6,0.386,7.6,0.441,7,0.91,0.3,2.8,3.1,5.6,1.1,0.1,2.4,2.1,19.5
C,8.6,16.5,0.518,0.3,0.364,16.2,0.521,8.4,0.797,2.9,7.9,10.8,2.4,0.6,1,2.4,2.4,24
PG,2.5,6.7,0.373,3.9,0.349,2.9,0.404,1.4,0.716,0.4,2.2,2.7,5.6,0.9,0,1.6,1.2,7.4
C,1.8,3.6,0.502,0.1,0,3.6,0.512,1.2,0.754,0.9,1.9,2.8,0.6,0.2,0.6,0.5,2.2,4.5
C,7.8,15.8,0.49,0.1,0,15.7,0.492,4,0.749,2.4,6.8,9.3,1.6,0.5,1.2,2.9,2.8,18.5
PG,7,14.2,0.493,2.8,0.409,11.3,0.514,4.2,0.847,0.4,3.8,4.2,10.7,2.1,0.2,2.5,2.6,18.7
PG,0.8,2.2,0.357,1.3,0.313,1,0.417,0.2,1,0,0.6,0.6,1.2,0.4,0,0.4,0.6,2.2
C,2,4,0.489,0,0,4,0.489,0.8,0.545,1.8,3.8,5.7,1.7,0.9,0.5,0.9,2.7,4.4
PG,1.4,3.9,0.363,1.8,0.301,2.1,0.417,0.7,0.926,0.1,0.6,0.7,2.3,0.4,0,0.8,1.3,4
PG,2.1,5.4,0.386,2.2,0.393,3.2,0.381,1.6,0.779,0.1,1.1,1.2,2.4,0.6,0.1,0.9,1.6,6.4
C,1,2.1,0.466,0,0,2.1,0.466,0.4,0.474,0.7,1.1,1.8,0.2,0.1,0.6,0.3,1.1,2.1
C,1.2,2.8,0.438,0,0,2.8,0.438,0.8,0.4,1.2,1.7,2.9,0.4,0.3,0.4,0.5,2,2.8
PG,2.2,4.8,0.466,2.7,0.477,2.1,0.454,0.9,0.694,0.2,1.1,1.3,1.3,0.4,0.1,0.6,1.4,6.3
C,3.2,6.5,0.494,0.1,0.167,6.4,0.498,1,0.811,0.8,2.3,3.1,0.9,0.8,0.2,1.1,2.7,7.2
C,3.1,6.4,0.49,0,0,6.3,0.493,0.9,0.536,1.5,3.3,4.7,1.5,0.7,1.1,1.1,2.6,6.7
C,1,2.1,0.471,0,0,2.1,0.471,0,0,0.6,1.6,2.3,0.5,0.5,0.1,0.3,0.9,2
C,3.8,7.8,0.492,0,0,7.8,0.495,1.2,0.536,1.8,3.8,5.5,1.8,0.8,1.4,1.4,3.1,8.3
PG,4.9,10.4,0.477,1.5,0.4,8.9,0.49,2.3,0.851,0.5,2,2.5,5.7,1,0.1,2.7,1.2,12.4
C,2.3,5.4,0.432,1.2,0.346,4.2,0.458,1.1,0.687,0.9,2.4,3.3,0.7,0.2,0.2,0.6,1.9,5.8
C,8.5,15.5,0.545,0.1,0,15.4,0.549,4.1,0.812,2.8,8.9,11.7,3.6,1,0.5,2.3,3.2,20.2
C,2.1,3.4,0.605,0,0,3.4,0.61,1.8,0.375,1.7,3.3,5,0.3,0.2,0.9,1.1,2.2,4.8
C,0.6,1.1,0.517,0,0,1.1,0.517,0.3,0.222,0.9,1.5,2.4,0.2,0.2,0.5,0.4,1.1,1.2
PG,2.6,6.8,0.38,2.7,0.348,4.1,0.401,1.6,0.856,0.3,1.8,2.1,2.5,1.1,0.1,1,2.5,7.5
PG,6.5,13.9,0.469,3.4,0.371,10.4,0.501,5.5,0.801,0.7,3.3,4,10.5,1.3,0.2,3.3,2.7,18.7
PG,8.6,17.6,0.489,0.8,0.267,16.8,0.5,4.3,0.766,0.8,2.9,3.8,6,0.7,0.3,2.8,1.2,20.8
PG,5.6,13.8,0.403,3.4,0.276,10.4,0.444,6,0.798,0.4,2.8,3.2,6.6,1.2,0.3,2.8,2.8,16.9
C,3.4,7.3,0.467,0.1,0.167,7.2,0.473,2.5,0.809,2.7,4.2,6.9,0.6,0.6,1.1,1.2,2.8,8.9
C,6.2,10.2,0.612,0.1,0,10.1,0.617,10,0.592,3.5,9.7,13.2,1.8,0.9,2.8,3.3,3.5,18.3
C,4.3,9.7,0.441,0,0,9.7,0.441,4.1,0.759,4.4,6.6,11,1.1,0.6,0.6,1.6,3.4,11.7
PG,2.6,6,0.427,0.9,0.317,5.1,0.446,1.3,0.865,0.3,0.9,1.1,2.6,0.4,0,1,0.7,6.6
PG,2.8,6.6,0.426,2.3,0.288,4.3,0.5,2.1,0.71,0.7,2.4,3,5.1,1.3,0.2,2.2,2.3,7.8
PG,2.6,6.4,0.401,3.3,0.383,3.1,0.419,0.8,0.9,0.1,1.2,1.4,1,0.6,0.1,0.5,1.2,7.2
C,1.1,3,0.381,0,0,3,0.381,2.4,0.588,0.6,1.3,1.9,0,0,0.1,1.9,1.9,3.7
C,4.2,8,0.53,0,0,8,0.53,3.3,0.562,3.1,6,9,0.7,0.7,1.5,1.4,2.7,10.4
PG,1.9,4.5,0.418,0.9,0.31,3.7,0.444,0.9,0.722,0.3,1.3,1.6,3.3,0.5,0.1,1,1.4,4.7
PG,2,5.1,0.391,0.9,0.208,4.2,0.431,1.3,0.758,0.4,1.1,1.5,3.1,0.5,0.1,1.1,1.3,5.2
PG,1.9,4.3,0.434,0.9,0.362,3.4,0.452,0.7,0.692,0.2,1.5,1.7,3.4,0.5,0.1,1,1.5,4.5
C,2.4,3.9,0.624,0.1,0.333,3.8,0.629,1.8,0.604,2.3,4.9,7.3,0.6,0.3,1.4,1.1,2.8,6
C,1.3,3,0.456,0,0,3,0.456,1,0.591,0.8,2,2.8,0,0.2,0.7,0.8,1.7,3.3
C,0.6,1,0.625,0,0,1,0.625,0.3,0.765,0.6,1.2,1.8,0.9,0.2,0.2,0.6,2.1,1.5
C,0.4,1.3,0.333,0,0,1.3,0.333,0.4,0.4,0.5,0.7,1.2,0.2,0.1,0,0.1,0.6,1
C,0.4,1.2,0.308,0,0,1.2,0.308,0.2,1,0.5,0.7,1.2,0.2,0.1,0,0.1,0.6,0.9
C,1,2,0.5,0,0,2,0.5,3,0,1,0,1,0,0,0,0,0,2
PG,4.5,9.5,0.478,2.4,0.399,7.1,0.505,3,0.772,0.5,2.1,2.6,2.9,0.9,0.3,1.3,2.8,12.4
PG,7.9,19.3,0.411,5.7,0.348,13.6,0.437,6.5,0.739,0.5,3.6,4.2,7.2,1.3,0.3,3.7,3,22.6
PG,2.8,6.1,0.452,2.4,0.394,3.8,0.488,2,0.736,0.5,1.7,2.1,3,0.6,0.1,1.6,1.6,7.9
C,4.4,7.2,0.605,0,0,7.2,0.605,3,0.766,3,5.4,8.5,0.9,0.4,2.3,1.9,4,11.1
C,0.7,1.7,0.387,0.1,0,1.6,0.407,0.5,0.737,0.7,1.4,2.1,0.3,0,0.4,0.6,1.6,1.7
C,1.1,1.9,0.588,0,0,1.9,0.588,1.4,0.581,1.3,2.3,3.6,0.2,0.2,1.3,0.6,2.4,3.1
C,0.7,2,0.333,0,0,2,0.333,0.3,1,0.8,1.5,2.3,0.3,0.3,0.7,0.7,0.8,1.7
C,0.6,1.9,0.294,0.1,0,1.8,0.313,0.2,0,0.6,0.1,0.7,0.3,0.6,0,0.6,1.1,1.1
C,1.3,2.1,0.636,0,0,2.1,0.636,1.8,0.66,0.5,1.5,2,0.1,0.1,0.3,0.6,1.2,3.9
PG,3,6.8,0.44,2,0.357,4.7,0.476,1.2,0.844,0.2,1.7,1.9,3.3,0.4,0.1,1.3,1.5,7.6
C,2.6,5.1,0.508,0,0,5.1,0.51,1.9,0.638,1.5,2.6,4.1,0.2,0.3,1.7,0.9,2,6.4
C,0.8,1.6,0.5,0,0,1.6,0.5,1.6,0.356,1.1,2.2,3.4,0,0.3,0.3,0.5,1.6,2.1
PG,1.4,3.7,0.371,1,0.179,2.7,0.446,0.7,0.815,0.3,1.4,1.7,2.8,0.9,0.1,1.7,1.8,3.5
PG,4.9,10.9,0.449,3.5,0.381,7.4,0.481,1.8,0.845,0.4,2.6,3,5.4,0.7,0,2.1,2.3,12.6
PG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PG,2.1,6,0.346,2.2,0.275,3.9,0.387,0.7,0.933,0.1,1.1,1.2,1.4,0.5,0,0.8,1.1,5.5
PG,3.9,8.2,0.481,2.4,0.412,5.8,0.511,2.9,0.842,0.4,2.3,2.7,5,0.7,0.1,2,1.8,11.4
C,0.4,0.9,0.387,0,0,0.9,0.387,0.7,0.4,0.6,1.2,1.8,0.2,0.1,0.1,0.3,1.2,1
C,0.3,1,0.348,0,0,0.9,0.364,0.1,0,0.2,0.4,0.6,0.2,0.1,0.1,0.2,0.9,0.7
PG,0.2,0.4,0.5,0,0,0.4,0.5,0,0,0,0.4,0.4,1.2,0.4,0.2,0.6,0.8,0.4
PG,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
PG,0.3,0.3,1,0,0,0.3,1,0,0,0,0.5,0.5,1.3,0.3,0.3,0.8,1,0.5
PG,3.6,8.4,0.423,5.2,0.425,3.2,0.42,1.2,0.808,0.6,5,5.6,9.1,1.8,0.4,2.4,1.8,10.3
C,2.8,5.5,0.511,0,0,5.4,0.512,2,0.574,2.1,3.2,5.3,0.5,0.5,0.5,0.9,2.3,6.8
C,4.9,10.5,0.472,0.1,0.1,10.3,0.477,3.7,0.715,3,5.5,8.5,1.7,0.5,1,1.9,3.7,12.5
PG,2.3,5.2,0.444,2.7,0.38,2.5,0.512,0.5,0.756,0.1,1.5,1.5,3.6,0.6,0,1.1,0.8,6
PG,1.5,3.8,0.393,1.7,0.323,2.1,0.451,0.8,0.711,0.3,1.2,1.5,0.6,0.2,0.1,0.3,1.4,4.1
C,1.1,1.7,0.662,0,0,1.7,0.662,0.5,0.9,0.6,1.9,2.5,0,0.2,0.4,0.3,1.9,2.7
C,1.4,2.9,0.478,0.1,0,2.8,0.489,0.6,0.556,2.1,2.9,5.1,1.3,0.2,0.3,0.9,2.8,3.1
PG,1.3,3.2,0.396,0.5,0.219,2.7,0.426,0.7,0.837,0.1,0.9,0.9,1.7,0.5,0.2,0.7,1.2,3.2
C,5.6,10.6,0.529,0,0,10.6,0.53,3.2,0.72,1.8,5.2,6.9,1.3,0.4,1.4,1.8,3,13.6
C,4.1,8.1,0.504,0,0,8.1,0.504,3.4,0.744,3.4,7.6,11,2.1,0.5,1.6,1.8,3.1,10.7
C,1,2,0.478,0,0,2,0.478,1.2,0.717,1.5,1.6,3.1,0.2,0.3,1.4,0.6,2,2.7
C,1.5,2.9,0.523,0,0,2.9,0.523,1.7,0.647,2.4,5.5,7.9,0.3,0.3,1.4,1.3,3.2,4.1
C,1.5,2.8,0.535,0,0,2.8,0.54,0.6,0.667,0.9,2.7,3.6,0.4,0.3,0.4,0.6,2.2,3.4
PG,4.9,11.8,0.417,2.7,0.358,9.1,0.434,3.3,0.826,0.3,2.1,2.4,4.4,1,0,2.9,1.2,13.5
PG,2.7,6.3,0.435,2.8,0.376,3.5,0.483,1,0.671,0.2,1.4,1.6,1.5,0.6,0.1,0.9,1.3,7.2
C,1.8,3.5,0.521,0.5,0.348,2.9,0.553,0.9,0.5,1,2.1,3,1,0.4,0.4,0.5,1.8,4.3
PG,4,8.4,0.482,2.5,0.398,5.8,0.519,1.5,0.798,0.3,1.8,2.1,5.9,0.7,0.1,1.5,2,10.3
PG,3.2,7.1,0.442,2.2,0.39,4.9,0.465,1.2,0.756,0.8,1.8,2.6,3.8,1.1,0.2,2.1,2.1,8
C,2.6,5.1,0.509,0,0,5.1,0.511,1,0.786,1.5,3.1,4.6,0.8,0.4,0.1,1,2.6,6
C,4,6.7,0.602,0,0,6.7,0.605,3.6,0.582,2,5.6,7.6,1,0.3,1.7,2.1,2.8,10.1
PG,0.7,1.8,0.4,0,0,1.8,0.409,0.3,1,0.1,0.9,1,0.8,0.4,0,0.2,0.6,1.8
PG,2.4,6.1,0.398,3,0.376,3.2,0.419,1.2,0.77,0.2,0.9,1,2.5,0.6,0,1.1,1.5,6.9
C,0.6,1.3,0.468,0,0,1.3,0.468,0.4,0.6,0.4,0.8,1.3,0.2,0.1,0.1,0.4,0.7,1.5
C,1.4,3,0.476,0,0,3,0.476,0.2,0.8,1.2,3,4.2,0.7,0.4,0.7,0.7,2.3,3
C,1.3,2.6,0.5,0,0,2.6,0.504,2,0.337,1.1,2.6,3.7,0.5,0.3,0.3,0.9,1.9,3.3
PG,2.7,6.8,0.397,2,0.272,4.8,0.448,3.8,0.827,1.3,2.3,3.6,4.5,0.9,0.1,1.7,2.5,9.1
C,1.1,1.9,0.547,0,0,1.9,0.553,1.2,0.421,0.7,1.2,1.8,0.3,0.1,0.4,0.5,1.6,2.6
PG,3.5,8.3,0.425,3.1,0.324,5.2,0.485,1.7,0.877,0.3,1.3,1.6,1.5,0.5,0.3,1,1.6,9.5
PG,0.8,2.1,0.396,0.6,0.313,1.5,0.432,0.5,0.846,0.3,0.4,0.7,0.5,0.3,0.1,0.6,0.5,2.3
PG,0.4,1.1,0.389,0.3,0.6,0.8,0.308,0.4,0.833,0.2,0.3,0.5,0.5,0.2,0.1,0.6,0.4,1.4
PG,1.6,3.9,0.4,1.2,0.182,2.7,0.5,0.8,0.857,0.4,0.7,1.1,0.6,0.6,0.1,0.6,0.6,4
PG,0.4,2.3,0.167,1,0.077,1.3,0.235,0.2,1,0.1,1,1.1,0.7,0.1,0,0.3,0.9,1
PG,5,10.6,0.47,3.2,0.34,7.4,0.527,3.6,0.824,0.4,2.5,2.9,4.2,1.3,0.2,1.7,1.7,14
PG,4,8.4,0.478,2.2,0.381,6.2,0.513,1.7,0.907,0.3,1.5,1.7,4,0.7,0.1,1.3,2.2,10.4
C,5.5,9.4,0.581,0,0,9.4,0.582,5.4,0.67,3,6.3,9.3,2.4,1,1.6,2,3.7,14.6
C,1.5,2.8,0.533,0,0,2.8,0.54,0.9,0.68,1.3,2.9,4.2,0.2,0.2,0.9,0.6,1.7,3.6
PG,1.8,3.3,0.534,1.1,0.292,2.2,0.653,1.3,0.828,0.1,0.9,1,1.2,0.5,0.1,0.9,1.4,5
C,3.1,6.3,0.497,0,0,6.3,0.5,1.3,0.581,3.6,7.5,11.1,1.5,1.1,2,1.2,2.4,7
PG,1.7,4.4,0.384,1.3,0.296,3.1,0.421,0.9,0.673,0.2,1.3,1.5,2.6,0.5,0,1.2,0.7,4.3
PG,2.5,6.2,0.401,3.2,0.318,3,0.491,1.5,0.745,0.3,1.5,1.8,3.4,1.2,0.2,1.7,2.4,7.1
C,3.4,7.2,0.477,0.1,0,7.1,0.483,2.3,0.745,1.4,2.7,4.1,0.6,0.5,0.5,0.8,2.5,8.6
C,4.9,10.6,0.458,2.9,0.385,7.7,0.486,3.3,0.82,1.8,5.2,7.1,1.6,0.5,1.1,1.7,3.1,13.5
PG,3.4,8.1,0.416,4.1,0.389,4,0.444,1,0.861,0.3,2.1,2.3,3.9,0.8,0,1.1,2,9.1
PG,4.6,10.4,0.445,2.7,0.387,7.7,0.464,2.3,0.743,0.4,2,2.4,5.3,1.4,0.2,2.1,2.2,12
PG,1.5,5,0.3,1.5,0.333,3.5,0.286,2,0.5,0.3,0.5,0.8,1.3,0.8,0,1.3,0.8,4.5
PG,1.5,3,0.5,0.8,0.667,2.3,0.444,1,0.5,0.3,0.8,1,1,0,0,1,1.3,4
C,2.3,3.9,0.6,0,0,3.9,0.6,0.5,0.636,1.1,1.9,3,1.6,0.2,0.6,0.9,2.6,5
PG,5.5,12.4,0.442,5.4,0.429,7,0.452,2.9,0.894,0.4,2.6,3,5.3,1,0.3,2.5,2.5,15.8
PG,3.8,8.8,0.436,4,0.39,4.8,0.474,1.2,0.746,0.5,1.5,2,2.9,0.9,0.1,1.3,2.1,10.1
PG,5.1,11.2,0.452,4.5,0.375,6.7,0.505,1.8,0.778,0.8,1.6,2.4,3.7,0.9,0.2,1.8,2.2,13.2
PG,2.4,6,0.401,3.3,0.414,2.7,0.386,0.5,0.615,0.2,1.3,1.5,2,0.8,0,0.8,1.9,6.5
C,1.3,2.8,0.441,0,0,2.8,0.445,1,0.684,1.3,1.4,2.7,0.6,0.3,0.2,0.7,1.5,3.2
C,3.3,5.9,0.553,0,0,5.9,0.553,2.2,0.648,2,3.3,5.2,0.5,0.3,0.7,0.9,1.8,7.9
C,3.7,7.4,0.502,0.1,0.2,7.3,0.505,1.4,0.717,1.8,3.3,5,0.7,0.4,0.6,0.8,2.3,8.4
C,5.1,8.7,0.587,0,0,8.7,0.589,5.1,0.704,2,5.6,7.6,2.5,1.4,1,1.5,3.4,13.8
C,2.4,4.1,0.589,0.1,0.25,4.1,0.593,1.4,0.692,2,3.1,5.1,0.5,0.5,0.6,0.8,3.1,5.9
C,1.8,4.3,0.41,1.2,0.269,3.1,0.463,0.7,0.906,0.7,2.1,2.8,0.3,0.2,0.3,0.7,1.3,4.5
C,0.7,1.4,0.533,0.1,0,1.3,0.571,0.5,0.5,0.2,0.8,1,0.1,0.2,0.4,0.5,1.1,1.7
PG,1,2.4,0.417,0.4,0.5,2,0.4,0.7,0.571,0.1,0.1,0.2,0.5,0,0,0.4,0.6,2.6
C,7,13,0.536,0.1,0,12.9,0.539,5.6,0.79,3.7,7.6,11.3,3.4,0.6,1.7,2.2,2.3,18.3
C,0.4,1.2,0.346,0,0,1.2,0.346,0.3,0.167,0.6,0.6,1.2,0,0,0.1,0.1,0.9,0.9
C,0.3,1.9,0.154,0,0,1.9,0.154,0.3,0.5,0.9,0.9,1.7,0,0.1,0.1,0,1.3,0.7
C,0.5,0.9,0.538,0,0,0.9,0.538,0.3,0,0.4,0.5,0.9,0.1,0,0.1,0.1,0.7,1
PG,3,8.6,0.348,3.2,0.345,5.3,0.349,1.6,0.728,0.3,2.2,2.5,3.4,1,0.2,1.8,2,8.2
PG,3.5,10.3,0.343,3.2,0.322,7,0.353,2,0.815,0.3,2.4,2.8,3.9,1,0.2,2.3,1.9,9.7
PG,2.4,6.8,0.355,3.2,0.37,3.5,0.341,1.1,0.556,0.2,2,2.2,2.9,0.9,0.2,1.4,2.1,6.6
PG,5.7,11.2,0.508,1,0.213,10.2,0.536,3.5,0.621,1.2,3.2,4.4,9.8,2.3,0.1,3,2.4,13.7
PG,3.1,6.8,0.456,0.2,0.067,6.6,0.467,2.8,0.717,0.7,1.9,2.6,3.1,0.7,0.1,1.7,1.7,8.2
PG,3.7,8.8,0.414,2.6,0.346,6.2,0.442,2.1,0.89,0.2,1.6,1.9,3.3,0.5,0.1,1.3,1.8,10.1
C,3.4,8.2,0.409,3.7,0.283,4.6,0.511,1.6,0.768,0.5,3.6,4.1,1,1,0.9,0.8,2.8,9
C,1.9,3.5,0.544,0,0,3.5,0.544,0.1,0.2,0.9,1.2,2.1,0.6,0.2,0.4,0.4,1.3,3.9
PG,4.9,10.6,0.459,2,0.385,8.6,0.475,2.2,0.763,0.7,2.9,3.6,5.6,1.5,0.3,2.1,2.2,12.1
C,3.4,5.7,0.588,0,0,5.7,0.588,2.5,0.704,2,2.8,4.9,0.1,0.2,1,0.8,2.3,8.4
PG,6.2,15.2,0.405,1.1,0.228,14.1,0.418,4.9,0.833,0.9,2.9,3.8,4.8,1.4,0.2,2.2,2.8,16.6
PG,2.8,5.3,0.518,2,0.409,3.4,0.582,0.9,0.808,0.2,1.2,1.4,1.3,0.5,0.2,1,1.5,7.1
PG,1.1,2.3,0.467,0.9,0.25,1.4,0.611,0.8,0.818,0,0.2,0.2,0.9,0.1,0,0.5,0.5,3.1
PG,1.6,4,0.405,1.1,0.286,3,0.447,1,0.695,0.5,0.8,1.2,2.1,0.7,0.2,0.9,1.8,4.3
C,2,3.5,0.582,0,0,3.5,0.586,1.9,0.474,1.3,3.3,4.5,2.1,0.5,1.3,1.2,2.3,4.9
C,4.8,9.7,0.495,0.1,0.5,9.6,0.495,2.8,0.754,2.2,3.5,5.7,2,0.4,1.6,1.8,3.5,11.7
PG,5.9,14.1,0.418,1.3,0.221,12.9,0.438,5.1,0.78,1.7,3.1,4.9,8,1.3,0.4,3.3,2.5,16.1
C,2.3,4.2,0.558,0,0,4.1,0.56,2.2,0.69,1.1,1.8,2.8,0.7,0.3,0.5,1.3,2.7,6.1
C,3.5,6.4,0.545,0,0,6.4,0.545,1.6,0.729,2.9,6.6,9.6,0.8,0.5,1.8,1.5,3.1,8.1
C,0.3,0.6,0.5,0,0,0.6,0.5,0.4,0.4,1,0.6,1.6,0.1,0,0.2,0.1,1.2,0.7
C,1.4,3,0.459,0.1,0,2.9,0.477,0.9,0.656,0.5,1.4,1.9,0.5,0.3,0.2,0.5,1.2,3.3
PG,1.9,4.7,0.413,1.3,0.232,3.4,0.483,0.9,0.784,0.1,0.9,1,2.9,0.6,0.1,1.2,1.7,4.8
PG,1.7,4.3,0.404,1.2,0.234,3.1,0.471,0.8,0.774,0.1,0.9,1.1,2.9,0.6,0.1,1.1,1.7,4.3
PG,4,8.8,0.457,2.3,0.222,6.5,0.538,1.5,0.833,0,1,1,3,0.5,0,1.5,1.5,9.8
PG,2.5,5.3,0.476,1.4,0.352,3.9,0.519,1.4,0.731,0.4,1,1.3,3.2,0.8,0.1,1.7,1.3,6.6
PG,2.3,4.9,0.463,1.1,0.357,3.8,0.493,1.6,0.694,0.4,0.9,1.3,3.1,0.7,0.1,1.5,1.2,6
PG,2.9,6,0.491,1.8,0.347,4.1,0.554,1.1,0.806,0.3,1.1,1.4,3.4,0.8,0.1,2,1.4,7.4
C,4.9,8.7,0.566,0,0,8.7,0.567,4.3,0.496,1.8,4.9,6.7,1.5,0.3,1.2,2,3.2,12
PG,2.9,5.6,0.517,0.2,0,5.4,0.533,1.3,0.875,0.4,1.7,2.2,3.6,0.5,0.3,1.6,1.7,6.9
PG,0.5,1.6,0.313,0.2,0,1.4,0.357,0,0,0.4,1.6,2,1.4,0.5,0.2,0.8,0.9,1
PG,3.8,7.1,0.535,0.2,0,7,0.547,1.8,0.875,0.5,1.8,2.2,4.5,0.5,0.3,1.9,2,9.2
C,1.5,3.4,0.443,0.1,0,3.3,0.451,1.4,0.718,1,1.8,2.8,0.6,0.3,0.7,0.8,2.4,4
C,4.3,9.3,0.468,1.2,0.299,8,0.494,1.5,0.689,2,4,6.1,2.2,0.4,1.2,1.8,2.8,10
PG,6.6,14.3,0.462,4.8,0.437,9.5,0.474,2.5,0.885,0.6,3.9,4.5,5.9,1.9,0.2,3,3.2,17.5
PG,2.7,6.5,0.416,3.7,0.395,2.9,0.443,0.6,0.75,0.3,2.1,2.3,4.8,0.7,0.1,1.6,1.5,7.3
PG,2.8,7,0.403,4.1,0.377,2.9,0.439,0.6,0.75,0.3,2,2.3,4,0.7,0,1.3,1.6,7.6
PG,2.6,5.8,0.443,3,0.437,2.8,0.45,0.6,0.75,0.2,2.2,2.4,6.1,0.7,0.1,2.2,1.3,6.8
PG,6.2,12.2,0.507,3.6,0.426,8.6,0.54,2.8,0.938,0.4,2.9,3.3,11,0.5,0.1,3.6,1.3,16.5
C,0.8,2,0.395,0,0,2,0.395,1.7,0.528,0.9,1.1,2,0,0,0.5,0.4,0.5,2.5
PG,1.2,2.6,0.463,0.8,0.269,1.8,0.554,1.4,0.5,0.2,0.7,0.9,1.2,0.4,0,0.4,0.5,3.3
PG,4,8.9,0.445,1.1,0.16,7.8,0.484,2.9,0.77,0.9,2.3,3.2,3.8,0.9,0.2,1.9,2.2,10.3
C,1.4,3.1,0.461,0,0,3.1,0.461,1,0.76,1.2,2,3.2,0.5,0.2,1.2,0.8,1.8,3.6
C,0.8,1.7,0.444,0,0,1.7,0.444,0.2,0.5,0.7,1.2,1.9,0.4,0.1,0.9,0.8,1.3,1.6
C,1.9,4.1,0.466,0,0,4.1,0.466,1.6,0.783,1.6,2.6,4.2,0.6,0.3,1.5,0.9,2.1,5.1
C,7.2,13.9,0.518,0.1,0.182,13.7,0.522,4.8,0.725,2.8,7.3,10.1,3.2,0.6,1.5,1.8,1.9,17.9
PG,3.2,7,0.458,3.1,0.389,3.9,0.514,1.2,0.809,0.7,1.2,1.9,2,0.8,0.1,1,2.1,8.6
C,0.9,2.7,0.35,0.3,0.25,2.4,0.361,0.7,0.7,0.3,1.3,1.5,0.2,0.3,0.1,0.2,1.3,2.4
PG,6.2,12.8,0.487,0.6,0.294,12.2,0.497,4.4,0.756,0.1,2.3,2.4,5.7,0.5,0.1,2.7,1.7,16
